"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"8600000US73949","ZCTA5 73949","1874","300","null","null",
"8600000US75001","ZCTA5 75001","15418","213","null","null",
"8600000US75002","ZCTA5 75002","73916","2094","null","null",
"8600000US75006","ZCTA5 75006","52231","706","null","null",
"8600000US75007","ZCTA5 75007","57513","1735","null","null",
"8600000US75009","ZCTA5 75009","15348","1542","null","null",
"8600000US75010","ZCTA5 75010","30784","1538","null","null",
"8600000US75013","ZCTA5 75013","42956","2100","null","null",
"8600000US75019","ZCTA5 75019","43137","414","null","null",
"8600000US75020","ZCTA5 75020","23216","808","null","null",
"8600000US75021","ZCTA5 75021","9454","1077","null","null",
"8600000US75022","ZCTA5 75022","28773","2573","null","null",
"8600000US75023","ZCTA5 75023","50923","2350","null","null",
"8600000US75024","ZCTA5 75024","43041","2216","null","null",
"8600000US75025","ZCTA5 75025","54653","2278","null","null",
"8600000US75028","ZCTA5 75028","48641","1767","null","null",
"8600000US75032","ZCTA5 75032","33956","1104","null","null",
"8600000US75034","ZCTA5 75034","116155","2281","null","null",
"8600000US75035","ZCTA5 75035","80269","2129","null","null",
"8600000US75038","ZCTA5 75038","29886","1867","null","null",
"8600000US75039","ZCTA5 75039","20627","1587","null","null",
"8600000US75040","ZCTA5 75040","61508","2515","null","null",
"8600000US75041","ZCTA5 75041","31250","2030","null","null",
"8600000US75042","ZCTA5 75042","37458","2099","null","null",
"8600000US75043","ZCTA5 75043","62721","3511","null","null",
"8600000US75044","ZCTA5 75044","45284","2796","null","null",
"8600000US75048","ZCTA5 75048","26062","274","null","null",
"8600000US75050","ZCTA5 75050","43190","2071","null","null",
"8600000US75051","ZCTA5 75051","41317","2428","null","null",
"8600000US75052","ZCTA5 75052","94060","2945","null","null",
"8600000US75054","ZCTA5 75054","13045","1954","null","null",
"8600000US75056","ZCTA5 75056","59674","1602","null","null",
"8600000US75057","ZCTA5 75057","16670","1634","null","null",
"8600000US75058","ZCTA5 75058","3329","755","null","null",
"8600000US75060","ZCTA5 75060","49307","3168","null","null",
"8600000US75061","ZCTA5 75061","53983","2439","null","null",
"8600000US75062","ZCTA5 75062","49296","2923","null","null",
"8600000US75063","ZCTA5 75063","39831","1733","null","null",
"8600000US75065","ZCTA5 75065","13026","435","null","null",
"8600000US75067","ZCTA5 75067","67197","2201","null","null",
"8600000US75068","ZCTA5 75068","69656","2508","null","null",
"8600000US75069","ZCTA5 75069","37582","2174","null","null",
"8600000US75070","ZCTA5 75070","109085","3318","null","null",
"8600000US75071","ZCTA5 75071","62769","2906","null","null",
"8600000US75074","ZCTA5 75074","53459","2408","null","null",
"8600000US75075","ZCTA5 75075","37310","1990","null","null",
"8600000US75076","ZCTA5 75076","8297","1026","null","null",
"8600000US75077","ZCTA5 75077","38764","1819","null","null",
"8600000US75078","ZCTA5 75078","34300","1396","null","null",
"8600000US75080","ZCTA5 75080","53708","2222","null","null",
"8600000US75081","ZCTA5 75081","40825","2043","null","null",
"8600000US75082","ZCTA5 75082","23418","1391","null","null",
"8600000US75087","ZCTA5 75087","36718","1854","null","null",
"8600000US75088","ZCTA5 75088","26823","1696","null","null",
"8600000US75089","ZCTA5 75089","37310","1664","null","null",
"8600000US75090","ZCTA5 75090","25732","1799","null","null",
"8600000US75092","ZCTA5 75092","26297","1721","null","null",
"8600000US75093","ZCTA5 75093","47908","2580","null","null",
"8600000US75094","ZCTA5 75094","23408","598","null","null",
"8600000US75098","ZCTA5 75098","58717","1202","null","null",
"8600000US75101","ZCTA5 75101","643","222","null","null",
"8600000US75102","ZCTA5 75102","1455","674","null","null",
"8600000US75103","ZCTA5 75103","15358","1111","null","null",
"8600000US75104","ZCTA5 75104","48821","279","null","null",
"8600000US75105","ZCTA5 75105","248","157","null","null",
"8600000US75109","ZCTA5 75109","4150","468","null","null",
"8600000US75110","ZCTA5 75110","29665","744","null","null",
"8600000US75114","ZCTA5 75114","6870","903","null","null",
"8600000US75115","ZCTA5 75115","53118","70","null","null",
"8600000US75116","ZCTA5 75116","19755","1100","null","null",
"8600000US75117","ZCTA5 75117","4505","968","null","null",
"8600000US75119","ZCTA5 75119","28901","1026","null","null",
"8600000US75124","ZCTA5 75124","4985","1065","null","null",
"8600000US75125","ZCTA5 75125","7664","1266","null","null",
"8600000US75126","ZCTA5 75126","52078","1652","null","null",
"8600000US75127","ZCTA5 75127","1906","361","null","null",
"8600000US75132","ZCTA5 75132","2326","850","null","null",
"8600000US75134","ZCTA5 75134","20759","1553","null","null",
"8600000US75135","ZCTA5 75135","7183","1029","null","null",
"8600000US75137","ZCTA5 75137","19341","1095","null","null",
"8600000US75140","ZCTA5 75140","6877","636","null","null",
"8600000US75141","ZCTA5 75141","5814","162","null","null",
"8600000US75142","ZCTA5 75142","21746","1431","null","null",
"8600000US75143","ZCTA5 75143","14336","1262","null","null",
"8600000US75144","ZCTA5 75144","3414","588","null","null",
"8600000US75146","ZCTA5 75146","20663","1621","null","null",
"8600000US75147","ZCTA5 75147","6951","698","null","null",
"8600000US75148","ZCTA5 75148","6396","812","null","null",
"8600000US75149","ZCTA5 75149","57758","2029","null","null",
"8600000US75150","ZCTA5 75150","61863","2064","null","null",
"8600000US75152","ZCTA5 75152","5194","658","null","null",
"8600000US75153","ZCTA5 75153","571","274","null","null",
"8600000US75154","ZCTA5 75154","42192","1424","null","null",
"8600000US75155","ZCTA5 75155","2971","386","null","null",
"8600000US75156","ZCTA5 75156","16718","1160","null","null",
"8600000US75157","ZCTA5 75157","233","79","null","null",
"8600000US75158","ZCTA5 75158","4337","710","null","null",
"8600000US75159","ZCTA5 75159","20857","640","null","null",
"8600000US75160","ZCTA5 75160","24494","775","null","null",
"8600000US75161","ZCTA5 75161","7483","1146","null","null",
"8600000US75163","ZCTA5 75163","2590","475","null","null",
"8600000US75164","ZCTA5 75164","788","214","null","null",
"8600000US75165","ZCTA5 75165","44571","1263","null","null",
"8600000US75166","ZCTA5 75166","4624","243","null","null",
"8600000US75167","ZCTA5 75167","12091","1550","null","null",
"8600000US75169","ZCTA5 75169","12937","903","null","null",
"8600000US75172","ZCTA5 75172","4814","122","null","null",
"8600000US75173","ZCTA5 75173","4953","933","null","null",
"8600000US75180","ZCTA5 75180","23939","668","null","null",
"8600000US75181","ZCTA5 75181","25264","2148","null","null",
"8600000US75182","ZCTA5 75182","6199","396","null","null",
"8600000US75189","ZCTA5 75189","30842","1219","null","null",
"8600000US75201","ZCTA5 75201","18032","1205","null","null",
"8600000US75202","ZCTA5 75202","2739","393","null","null",
"8600000US75203","ZCTA5 75203","18295","1853","null","null",
"8600000US75204","ZCTA5 75204","32032","1978","null","null",
"8600000US75205","ZCTA5 75205","24726","1044","null","null",
"8600000US75206","ZCTA5 75206","39653","2182","null","null",
"8600000US75207","ZCTA5 75207","7715","1261","null","null",
"8600000US75208","ZCTA5 75208","30064","1626","null","null",
"8600000US75209","ZCTA5 75209","14558","1318","null","null",
"8600000US75210","ZCTA5 75210","9504","1728","null","null",
"8600000US75211","ZCTA5 75211","77920","3714","null","null",
"8600000US75212","ZCTA5 75212","28017","2316","null","null",
"8600000US75214","ZCTA5 75214","34658","1917","null","null",
"8600000US75215","ZCTA5 75215","17184","1432","null","null",
"8600000US75216","ZCTA5 75216","54253","3157","null","null",
"8600000US75217","ZCTA5 75217","86811","3817","null","null",
"8600000US75218","ZCTA5 75218","22712","1806","null","null",
"8600000US75219","ZCTA5 75219","24038","1591","null","null",
"8600000US75220","ZCTA5 75220","41110","2717","null","null",
"8600000US75223","ZCTA5 75223","15002","1440","null","null",
"8600000US75224","ZCTA5 75224","37602","2650","null","null",
"8600000US75225","ZCTA5 75225","22108","1099","null","null",
"8600000US75226","ZCTA5 75226","4774","720","null","null",
"8600000US75227","ZCTA5 75227","60632","2978","null","null",
"8600000US75228","ZCTA5 75228","75303","4082","null","null",
"8600000US75229","ZCTA5 75229","32739","1999","null","null",
"8600000US75230","ZCTA5 75230","27402","1717","null","null",
"8600000US75231","ZCTA5 75231","40987","2630","null","null",
"8600000US75232","ZCTA5 75232","32823","2576","null","null",
"8600000US75233","ZCTA5 75233","16920","1741","null","null",
"8600000US75234","ZCTA5 75234","39644","965","null","null",
"8600000US75235","ZCTA5 75235","19198","1999","null","null",
"8600000US75236","ZCTA5 75236","16920","1581","null","null",
"8600000US75237","ZCTA5 75237","21607","1442","null","null",
"8600000US75238","ZCTA5 75238","33396","1950","null","null",
"8600000US75240","ZCTA5 75240","26841","1627","null","null",
"8600000US75241","ZCTA5 75241","30863","2058","null","null",
"8600000US75243","ZCTA5 75243","68253","3276","null","null",
"8600000US75244","ZCTA5 75244","13552","1097","null","null",
"8600000US75246","ZCTA5 75246","2553","603","null","null",
"8600000US75247","ZCTA5 75247","772","203","null","null",
"8600000US75248","ZCTA5 75248","37602","2093","null","null",
