Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About,Year,Month
02/01/24,12:02:51 AM,9100 Rue De Lis,78250,Other Calls,Missing Person/Runaway,7360,PRUE,SAPD-2024-0141260,29.523497,-98.677053,1706767371000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:00:03 AM,7600 Callaghan Rd,78229,Crimes Against Person Calls,Assault In Progress,7110,PRUE,SAPD-2024-0141246,29.508106,-98.557286,1706767203000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,24,2
02/01/24,12:01:35 AM,3000 S Flores St,78204,Other Calls,Welfare Check,6210,SOUTH,SAPD-2024-0141252,29.394117,-98.504182,1706767295000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:00:41 AM,2100 S Zarzamora St,78207,Other Calls,Patrol By,2340,CENTRAL,SAPD-2024-0141249,29.401496,-98.530393,1706767241000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:03:49 AM,4700 Stringfellow Dr,78223,Traffic Calls,Minor Accident,4210,EAST,SAPD-2024-0141258,29.378848,-98.435006,1706767429000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:01:16 AM,I0 10 W,78213,Other Calls,SAPD Non-Emergency Call,NOT SAPD BEX - 5,SAPD OUTSIDE AREA,SAPD-2024-0141251,29.493659,-98.547665,1706767276000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:02:48 AM,2100-2198 E SOUTHCROSS BLVD,78223,Traffic Calls,Traffic Related,6220,SOUTH,SAPD-2024-0141254,29.3754,-98.461367,1706767368000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:04:33 AM,400 Fargo Ave,78220,Other Calls,Wanted Person,4160,EAST,SAPD-2024-0141259,29.416747,-98.433999,1706767473000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:05:48 AM,6700 Nw Loop 410,78238,Other Calls,Miscellaneous,5270,WEST,SAPD-2024-0141267,29.462222,-98.621111,1706767548000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:06:25 AM,9100 Excellence Dr,78252,Other Calls,Suspicious Person,6360,SOUTH,SAPD-2024-0141272,29.338226,-98.629356,1706767585000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:04:54 AM,1901-1921 NW LOOP 410 WB,78213,Traffic Calls,Traffic Related,NOT SAPD BEX - 8,SAPD OUTSIDE AREA,SAPD-2024-0141263,29.519424,-98.520565,1706767494000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:07:37 AM,700 Hot Wells,78223-2627,Other Calls,Suspicious Person,6240,SOUTH,SAPD-2024-0141278,29.368275,-98.453088,1706767657000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:07:09 AM,1900 Sw Military Dr,78221,Crimes Against Person Calls,Assault,6230,SOUTH,SAPD-2024-0141280,29.357044,-98.523744,1706767629000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,24,2
02/01/24,12:09:38 AM,8900 N Loop 1604 W,78249,Other Calls,Assist the Public,7350,PRUE,SAPD-2024-0141285,29.558538,-98.660708,1706767778000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:07:31 AM,4800 Pecan Grove Blvd,78222,Other Calls,Disturbance,4250,EAST,SAPD-2024-0141277,29.37725,-98.42138,1706767651000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:07:31 AM,1000 N Hunt Ln,78251,Other Calls,Welfare Check,5360,WEST,SAPD-2024-0141276,29.444826,-98.670976,1706767651000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:08:05 AM,900 E Commerce St,78205,Other Calls,Disturbance,2110,CENTRAL,SAPD-2024-0141281,29.423056,-98.482917,1706767685000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:08:30 AM,Us Hwy 281 N Nb / E Hildebrand Ave,78212,Traffic Calls,Wrong Way Driver,2230,CENTRAL,SAPD-2024-0141283,29.465533,-98.473717,1706767710000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:09:42 AM,300 Vance Jackson,78201,Other Calls,Disturbance,5230,WEST,SAPD-2024-0141286,29.476205,-98.535231,1706767782000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:07:23 AM,Sb Us Hy281 N Ofrp Sb Ih 35 N / Ih 35 N Sb,78215,Traffic Calls,Wrong Way Driver,2140,CENTRAL,SAPD-2024-0141279,29.439811,-98.481931,1706767643000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:07:11 AM,7700 Eckhert Rd,78240,Other Calls,Wanted Person,7320,PRUE,SAPD-2024-0141274,29.511767,-98.623527,1706767631000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:08:51 AM,100 Mascasa St,78237,Other Calls,Patrol By,5140,WEST,SAPD-2024-0141284,29.423057,-98.566369,1706767731000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:07:31 AM,5300 OLD PEARSALL RD,78242,Other Calls,Patrol By,6340,SOUTH,SAPD-2024-0141275,29.356994,-98.599907,1706767651000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:10:41 AM,9300 Blazer Place,78245,Traffic Calls,Minor Accident,5330,WEST,SAPD-2024-0141289,29.419305,-98.668038,1706767841000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:11:00 AM,1800 S General Mcmullen,78226,Other Calls,Disturbance,6310,SOUTH,SAPD-2024-0141290,29.398708,-98.557603,1706767860000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:10:17 AM,3500 MARTIN LUTHER KING DR,78220,Other Calls,Patrol By,4230,EAST,SAPD-2024-0141287,29.413497,-98.419149,1706767817000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:10:29 AM,W0 NW LOOP 410 OFRP CULEBRA RD,78238,Traffic Calls,Traffic Related,5310,WEST,SAPD-2024-0141288,29.463338,-98.621894,1706767829000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:13:56 AM,5400 War Cloud Dr,78242,Traffic Calls,Traffic Related,6340,SOUTH,SAPD-2024-0141296,29.345267,-98.604712,1706768036000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:12:01 AM,9501-9999 AIRPORT BLVD,78216,Other Calls,Patrol By,SAT1,AIRPORT,SAPD-2024-0141293,29.525558,-98.472705,1706767921000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:21:47 AM,7200 Marbach Rd,78227,Other Calls,Disturbance Neighbor,5170,WEST,SAPD-2024-0141324,29.418122,-98.631873,1706768507000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:14:51 AM,Culebra Rd / Benrus Dr,78228,Other Calls,Disturbance,5250,WEST,SAPD-2024-0141299,29.448485,-98.58517,1706768091000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:16:39 AM,Eb Ih 35 N Onrp Nb Us Hy281 N / Eb Ih 35 N Onrp Sb Ih 37 S,78215,Traffic Calls,Wrong Way Driver,2130,CENTRAL,SAPD-2024-0141303,29.439476,-98.481607,1706768199000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:19:34 AM,16100 Rocky Crk,78247,Crimes Against Person Calls,Suspicious Vehicle,3260,NORTH,SAPD-2024-0141309,29.586339,-98.369616,1706768374000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,24,2
02/01/24,12:19:34 AM,5700 Stiffkey Dr,78228,Other Calls,Assist the Public,5140,WEST,SAPD-2024-0141308,29.444367,-98.599076,1706768374000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:19:14 AM,5500 War Cloud Dr,78242,Traffic Calls,Traffic Related,6340,SOUTH,SAPD-2024-0141307,29.34502,-98.606125,1706768354000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:19:59 AM,War Cloud Dr / Great Spirit,78242,Traffic Calls,Traffic Related,6340,SOUTH,SAPD-2024-0141310,29.345342,-98.60421,1706768399000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,2
02/01/24,12:18:27 AM,4700 Macro,78218,Other Calls,Patrol By,4340,EAST,SAPD-2024-0141306,29.466527,-98.39998,1706768307000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:21:09 AM,4400 Gardendale,78240,Other Calls,Disturbance,7150,PRUE,SAPD-2024-0141316,29.526672,-98.570895,1706768469000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:22:52 AM,W Cypress St / Howard St,78212,Other Calls,Suspicious Person,2140,CENTRAL,SAPD-2024-0141323,29.440637,-98.495456,1706768572000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:20:29 AM,1400 N ZARZAMORA ST,78207,Other Calls,Patrol By,2320,CENTRAL,SAPD-2024-0141313,29.442359,-98.525244,1706768429000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:23:19 AM,4900 Woodlake Trl,78244,Other Calls,SAPD Non-Emergency Call,NOT SAPD BEX,SAPD OUTSIDE AREA,SAPD-2024-0141326,29.4739,-98.342899,1706768599000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:23:15 AM,1500 W Laurel St,78201,Property Crime Calls,Theft,2320,CENTRAL,SAPD-2024-0141325,29.443197,-98.516789,1706768595000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link,24,2
02/01/24,12:22:43 AM,14819-14999 HEIMER RD,78232,Other Calls,Patrol By,3140,NORTH,SAPD-2024-0141321,29.578029,-98.465407,1706768563000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:26:12 AM,400 Gulf St,78202,Property Crime Calls,Theft,4130,EAST,SAPD-2024-0141334,29.425883,-98.458741,1706768772000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link,24,2
02/01/24,12:25:47 AM,3200 Heather Hill,78228,Other Calls,Missing Person/Runaway,5250,WEST,SAPD-2024-0141335,29.464846,-98.573342,1706768747000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:24:47 AM,12900-13099 Thomas Sumter,78233,Other Calls,Disturbance,3250,NORTH,SAPD-2024-0141328,29.558387,-98.361518,1706768687000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,2
02/01/24,12:25:10 AM,4500 Callaghan Rd,78228,Crimes Against Person Calls,Assault In Progress,5270,WEST,SAPD-2024-0141329,29.472432,-98.602514,1706768710000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,24,2
