Zipcode,Population,Count,IncidentsPer1000,ProblemType,ProblemCount
78205,1503.0,2472,1644.7,Patrol By,589
78215,2925.0,1288,440.3,Traffic Related,293
78235,1471.0,231,157.0,Disturbance,45
78216,45325.0,5717,126.1,Traffic Related,1451
78212,27940.0,3498,125.2,Traffic Related,788
78257,8113.0,964,118.8,Traffic Related,302
78238,27027.0,3070,113.6,Traffic Related,935
78204,12850.0,1444,112.4,Traffic Related,343
78208,4549.0,500,109.9,Traffic Related,94
78202,11675.0,1190,101.9,Patrol By,201
78220,17095.0,1680,98.3,Disturbance,230
78207,57700.0,5383,93.3,Patrol By,764
78218,38749.0,3562,91.9,Traffic Related,994
78219,17705.0,1573,88.8,Traffic Related,354
78203,6162.0,546,88.6,Patrol By,82
78224,22569.0,1948,86.3,Traffic Related,456
78229,35589.0,2907,81.7,Traffic Related,551
78214,26805.0,2175,81.1,Disturbance,347
78227,49326.0,3917,79.4,Traffic Related,819
78201,50336.0,3837,76.2,Patrol By,640
78226,8012.0,609,76.0,Disturbance,111
78210,37061.0,2805,75.7,Patrol By,406
78237,41247.0,2999,72.7,Traffic Related,627
78230,45661.0,3310,72.5,Traffic Related,1424
78211,34539.0,2286,66.2,Traffic Related,332
78223,56484.0,3540,62.7,Disturbance,513
78217,35257.0,2167,61.5,Traffic Related,354
78231,10132.0,616,60.8,Patrol By,214
78256,11435.0,692,60.5,Traffic Related,163
78225,15147.0,877,57.9,Traffic Related,180
78221,42535.0,2229,52.4,Traffic Related,319
78209,44706.0,2316,51.8,Traffic Related,487
78222,25935.0,1287,49.6,Traffic Related,155
78228,61441.0,2893,47.1,Disturbance,434
78249,61712.0,2847,46.1,Traffic Related,813
78242,35159.0,1596,45.4,Patrol By,192
78232,39638.0,1776,44.8,Traffic Related,618
78247,53597.0,2291,42.7,Traffic Related,368
78073,8897.0,370,41.6,Disturbance,51
78240,61937.0,2524,40.8,Disturbance,309
78233,48060.0,1832,38.1,Minor Accident,266
78251,65885.0,2466,37.4,Traffic Related,326
78213,45124.0,1663,36.9,Traffic Related,353
78258,47146.0,1654,35.1,Traffic Related,530
78245,76392.0,2344,30.7,Traffic Related,498
78252,11479.0,315,27.4,SAPD Non-Emergency Call,44
78259,26591.0,679,25.5,Traffic Related,179
78250,62951.0,1442,22.9,Traffic Related,277
78266,6592.0,139,21.1,Minor Accident,40
78248,13822.0,273,19.8,Traffic Related,35
78244,33988.0,644,18.9,Disturbance,80
78264,10603.0,172,16.2,Patrol By,59
78112,8725.0,137,15.7,Traffic Related,32
78234,4917.0,71,14.4,Patrol By,23
78243,419.0,6,14.3,Traffic Related,3
78109,39424.0,555,14.1,Traffic Related,135
78254,61141.0,858,14.0,Traffic Related,125
78253,41900.0,577,13.8,SAPD Non-Emergency Call,148
78239,26966.0,308,11.4,Disturbance,37
78255,15064.0,155,10.3,Traffic Related,24
78023,29847.0,268,9.0,Traffic Related,85
78260,26164.0,208,7.9,Traffic Related,57
78263,3561.0,21,5.9,SAPD Non-Emergency Call,6
78236,6760.0,39,5.8,Patrol By,11
78261,16518.0,51,3.1,SAPD Non-Emergency Call,23
78002,5758.0,15,2.6,SAPD Non-Emergency Call,10
78154,41171.0,85,2.1,Traffic Related,19
78152,2569.0,4,1.6,SAPD Non-Emergency Call,4
78404,16852.0,11,0.7,Patrol By,10
78101,7434.0,5,0.7,SAPD Emergency Call,2
78006,37568.0,17,0.5,SAPD Emergency Call,6
78015,17187.0,8,0.5,SAPD Non-Emergency Call,5
78069,6187.0,2,0.3,SAPD Emergency Call,1
78148,22955.0,4,0.2,Traffic Related,2
78124,6553.0,1,0.2,SAPD Non-Emergency Call,1
78155,50832.0,6,0.1,Patrol By,5
78009,7632.0,1,0.1,SAPD Emergency Call,1
78751,16138.0,1,0.1,Patrol By,1
78108,43579.0,2,0.0,SAPD Non-Emergency Call,2
78660,101937.0,1,0.0,SAPD Emergency Call,1
