Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About
08/17/22,12:01:12 AM,1200 W Martin St,78207,Other Calls,Information,2310,CENTRAL,SAPD-2022-1072515,29.430446,-98.5052,1660712472000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:00:47 AM,500 Steves Ave,78204,Other Calls,Miscellaneous,2150,CENTRAL,SAPD-2022-1072514,29.39624,-98.491496,1660712447000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:01:56 AM,4000 N Loop 1604 W,78257,Other Calls,Disturbance,7260,PRUE,SAPD-2022-1072516,29.602553,-98.560583,1660712516000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:01:00 AM,701-799 GABRIEL,78202,Other Calls,Patrol By,4130,EAST,SAPD-2022-1072513,29.43199,-98.451293,1660712460000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:05:05 AM,1800 Center St,78202,Other Calls,Disturbance Family,4140,EAST,SAPD-2022-1072523,29.422564,-98.449014,1660712705000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:06:26 AM,11700 Parliament,78213,Other Calls,Patrol By,3110,NORTH,SAPD-2022-1072527,29.546556,-98.515303,1660712786000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:03:37 AM,U0 HWY 281 N,78216,Traffic Calls,Traffic Related,3120,NORTH,SAPD-2022-1072517,29.551562,-98.4878,1660712617000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22,12:06:52 AM,200 Emporia Blvd,78209,Property Crime Calls,Burglary,3340,NORTH,SAPD-2022-1072529,29.491229,-98.455462,1660712812000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22,12:05:00 AM,9700 Airport Blvd,78216,Other Calls,Welfare Check,SAT1,AIRPORT,SAPD-2022-1072522,29.527705,-98.472816,1660712700000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:07:21 AM,7700 Pipers Ln,78251,Other Calls,Disturbance,5320,WEST,SAPD-2022-1072530,29.466992,-98.645367,1660712841000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:09:09 AM,6200 VIA LA CANTERA,78256,Traffic Calls,Minor Accident,7250,PRUE,SAPD-2022-1072535,29.591847,-98.609894,1660712949000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22,12:07:44 AM,400 Zabra Dr,78227,Other Calls,Disturbance Loud Music,5340,WEST,SAPD-2022-1072533,29.40429,-98.658189,1660712864000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:05:50 AM,903-1099 W MARTIN ST,78207,Other Calls,Injured/Sick Person,2310,CENTRAL,SAPD-2022-1072524,29.430022,-98.502819,1660712750000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:07:35 AM,3000 Jane Ellen Dr,78237,Other Calls,Patrol By,6310,SOUTH,SAPD-2022-1072531,29.401678,-98.551088,1660712855000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:14:47 AM,5500 W Loop 1604 N,78251,Crimes Against Person Calls,Suspicious Vehicle,5350,WEST,SAPD-2022-1072548,29.4897,-98.70901,1660713287000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22,12:08:56 AM,S Navidad / Merida St,78207,Other Calls,Welfare Check,2340,CENTRAL,SAPD-2022-1072536,29.408582,-98.52487,1660712936000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:11:05 AM,900 N Flores St,78212,Other Calls,Suspicious Person,2210,CENTRAL,SAPD-2022-1072537,29.434283,-98.499273,1660713065000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:11:31 AM,8600 S Zarzamora St,78224,Other Calls,Disturbance Family,6140,SOUTH,SAPD-2022-1072539,29.337762,-98.533284,1660713091000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:14:25 AM,200 Kirk Place,78225,Crimes Against Person Calls,Suspicious Vehicle,6110,SOUTH,SAPD-2022-1072560,29.396105,-98.520306,1660713265000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22,12:15:48 AM,9800 State Hwy 151,78251,Other Calls,Miscellaneous,5360,WEST,SAPD-2022-1072553,29.449405,-98.684938,1660713348000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:11:34 AM,2000 Bandera Rd,78228,Other Calls,Disturbance,5260,WEST,SAPD-2022-1072538,29.472489,-98.579239,1660713094000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:12:10 AM,6900 W Military Dr,78227,Other Calls,Disturbance,5150,WEST,SAPD-2022-1072540,29.405617,-98.629172,1660713130000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:14:25 AM,200 Monticello Ct,78223,Other Calls,Prowler,6240,SOUTH,SAPD-2022-1072546,29.373925,-98.472674,1660713265000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:15:18 AM,6500 W Loop 1604 N,78254,Property Crime Calls,Burglary Vehicle,5350,WEST,SAPD-2022-1072551,29.497657,-98.705078,1660713318000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22,12:22:44 AM,6900 W Military Dr,78227,Other Calls,Disturbance,5150,WEST,SAPD-2022-1072575,29.405617,-98.629172,1660713764000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:15:28 AM,12700 Cimarron Path,78249,Crimes Against Person Calls,Suspicious Vehicle,7340,PRUE,SAPD-2022-1072552,29.561524,-98.598247,1660713328000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22,12:14:05 AM,300 ROOSEVELT AVE,78210,Other Calls,Patrol By,2150,CENTRAL,SAPD-2022-1072544,29.400997,-98.488233,1660713245000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:15:58 AM,5300 Charter Oak,78229,Other Calls,Assist the Public,7140,PRUE,SAPD-2022-1072554,29.495399,-98.590194,1660713358000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:14:18 AM,S St Mary's St / Barbe St,78210,Traffic Calls,Officer Traffic Stop,2110,CENTRAL,SAPD-2022-1072545,29.408606,-98.487169,1660713258000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22,12:18:28 AM,13500 West Ave,78216,Other Calls,Disturbance,3120,NORTH,SAPD-2022-1072558,29.566286,-98.489692,1660713508000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22,12:15:18 AM,700 Hoover Ave,78225,Other Calls,Disturbance Loud Music,6110,SOUTH,SAPD-2022-1072550,29.385503,-98.534028,1660713318000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
